Comment,Designator,Footprint,LCSC Part #
0.1uF,C4 C5,C0603,
1.0uF,C6 C8,C0603,
1k,R14 R15,R0603,C25585
4K7,R5 R6 R7,R0603,
10K,R1 R2 R13,R0603,
10nF,C7,C0603,
10uF,C1 C2 C3,C0805,
33,R3 R4 R8 R9 R10,R0603,
330,R11 R12,R0603,
AO3400,Q1,SOT23,C79015
BAT760-7,D1 D2,SOD323F,C124187
BUZZER,BZ1,SMT-8585-BUZZER,C94599
CH340C,U3,SO016,C84681
Ai-Thinker ESP-C3-12F-4M,IC1,ESP-C3-12F-4M,C2838647
Green,LD1,LED-0603,C965805
LD1117S33CTR,U2,SOT223,C6186
TACT4X3,SW1 SW2,SPST4X3,C720477
WS2813E,RGB1,WS2813-5050,C160214
Red,LD2,LED-0603,C965798
TF-021B-H265,J1,MOLEX_0475710001,C498185
USB1050170001,J3,MOLEX_1050170001,C404969